,Job Title,Job Location,Job Company,Job Industry,Search Engine,Lat,Lng
0,Junior Insights Analyst,Sydney,Oneflare Pty Ltd,Sales,Oneflare Pty Ltd Sydney,-33.8682204,151.2037769
1,Graduate Data Analyst & Programmer,Gold Coast,Tebbutt Research,Marketing & Communications,Tebbutt Research Gold Coast,-27.9705906,153.4131154
2,Data Analyst,West Gippsland & Latrobe Valley,Hays Information Technology,Government & Defence,Hays Information Technology West Gippsland & Latrobe Valley,-38.1628897,145.9337069
3,Data Analyst/Manager,Sydney,Finite IT Recruitment Solutions,Information & Communication Technology,Finite IT Recruitment Solutions Sydney,-33.8667039,151.2083246
4,Data Analyst,ACT,Hudson - Project Services,Information & Communication Technology,Hudson - Project Services ACT,-35.2758978,149.1279799
5,Graduate Estate Data Analyst,Melbourne,Ventia,Construction,Ventia Melbourne,-37.85749980000001,145.1132476
6,Data Analyst,Sydney,Teachers Mutual Bank,Information & Communication Technology,Teachers Mutual Bank Sydney,-33.8675377,151.2057136
8,Master Data Analyst - Reynella,Adelaide,Accolade Wines Australia,Information & Communication Technology,Accolade Wines Australia Adelaide,-35.0942922,138.5433565
9,Scientist (Data Analyst),Southern Highlands & Tablelands,"Department of Planning, Industry and Environment",Government & Defence,"Department of Planning, Industry and Environment Southern Highlands & Tablelands",-34.4249117,150.8988125
10,Scientist (Data Analyst),Southern Highlands & Tablelands,"Department of Planning, Industry and Environment",Science & Technology,"Department of Planning, Industry and Environment Southern Highlands & Tablelands",-34.4249117,150.8988125
11,Cloud Data Analyst (Azure),Melbourne,Ambition,Information & Communication Technology,Ambition Melbourne,-37.814813,144.9629494
12,Oracle Data Analyst,Sydney,Perigon Group Pty Limited,Information & Communication Technology,Perigon Group Pty Limited Sydney,-33.8654144,151.2100165
13,Data Analyst,Melbourne,Department of Justice and Community Safety,Government & Defence,Department of Justice and Community Safety Melbourne,-37.812732,144.970403
14,Data Analyst,Melbourne,Department of Justice and Community Safety,Information & Communication Technology,Department of Justice and Community Safety Melbourne,-37.812732,144.970403
16,EL1 Data Analyst,ACT,SOS Recruitment,Government & Defence,SOS Recruitment ACT,-35.337949,149.180661
17,Data Analyst,Sydney,Transport for NSW,Banking & Financial Services,Transport for NSW Sydney,-33.8844265,151.2041882
18,Data Analyst,Sydney,Transport for NSW,Government & Defence,Transport for NSW Sydney,-33.8844265,151.2041882
19,Data Analyst,Sydney,Naviro,Information & Communication Technology,Naviro Sydney,-33.863527,151.20763
20,Data Analyst,Sydney,Quay Appointments,Government & Defence,Quay Appointments Sydney,-33.8640062,151.2064333
21,APS6 Policy/Data Analyst,ACT,First People Recruitment Solutions Pty Ltd,Government & Defence,First People Recruitment Solutions Pty Ltd ACT,-35.278741,149.128795
22,Operations /Data Analyst,Sydney,Credit Corp Group Limited,Information & Communication Technology,Credit Corp Group Limited Sydney,-33.86392,151.2036263
24,Data Analyst Visualisation Specialist,ACT,Paxus,Information & Communication Technology,Paxus ACT,-35.2762871,149.128529
25,Senior Data Analyst,ACT,Recruitment Hive,Information & Communication Technology,Recruitment Hive ACT,-35.3429461,149.2451144
27,"Technical Data Analyst, Actuarial",Melbourne,MLC Life Insurance,Insurance & Superannuation,MLC Life Insurance Melbourne,-37.8084117,144.9533527
28,Senior Data Analyst,Sydney,Ethos BeathChapman,Information & Communication Technology,Ethos BeathChapman Sydney,-33.8640033,151.2065104
29,Data Analyst,Melbourne,SANE Australia,Information & Communication Technology,SANE Australia Melbourne,-37.7981609,144.9581555
30,Data Analyst,Melbourne,The Royal Aust and NZ Coll of Obstetricians and Gynaecologists,Information & Communication Technology,The Royal Aust and NZ Coll of Obstetricians and Gynaecologists Melbourne,-37.810043,144.982608
31,Data Analyst Visualisation Specialist,ACT,MTP Services,Information & Communication Technology,MTP Services ACT,-35.3247554,149.1672246
32,APS6 Policy Data Analyst,ACT,Karlka Recruiting Group,Government & Defence,Karlka Recruiting Group ACT,-27.6539981,153.1653199
33,Senior Data Analyst,ACT,Talent Street,Information & Communication Technology,Talent Street ACT,-35.3204843,149.0973561
34,Policy/Data Analyst - APS6,ACT,Ignite,Government & Defence,Ignite ACT,-35.3168055,149.1462475
35,Data Analyst - Finance Systems,Sydney,SustainAbility Consulting,Information & Communication Technology,SustainAbility Consulting Sydney,-33.86440839999999,151.204623
36,APS6 Policy/Data Analyst,ACT,SOS Recruitment,Government & Defence,SOS Recruitment ACT,-35.337949,149.180661
37,Senior Data Analyst,ACT,Whizdom,Information & Communication Technology,Whizdom ACT,-35.2429284,149.0914853
38,Behaviour Data Analyst,Melbourne,Irabina Autism Services,Healthcare & Medical,Irabina Autism Services Melbourne,-37.8194084,145.2704315
39,Part-Time Sales Coordinator | Data Analyst,Perth,Capital Transport Pty Ltd,Administration & Office Support,Capital Transport Pty Ltd Perth,-31.9535896,115.9870921
40,Senior Data Analyst,ACT,Calleo,Information & Communication Technology,Calleo ACT,-35.3150012,149.1293812
41,Data Analyst - ASO4,Adelaide,Randstad Professionals,Accounting,Randstad Professionals Adelaide,-34.9245402,138.6008465
42,Data Analyst Visualisation Specialist,ACT,Peoplebank Australia ACT,Information & Communication Technology,Peoplebank Australia ACT ACT,-35.277428,149.128305
43,Financial and Business Data Analyst,Adelaide,Brentnalls SA,Accounting,Brentnalls SA Adelaide,-34.9036296,138.5705199
45,DIGITAL DATA  ANALYST,Sydney,Dymocks Retail,Marketing & Communications,Dymocks Retail Sydney,-33.8698189,151.2070535
46,Data Analyst,Sydney,Fluent Commerce,Information & Communication Technology,Fluent Commerce Sydney,-33.8846022,151.2097801
47,EL1 Data Analyst | Multiple Vacancies,ACT,First People Recruitment Solutions Pty Ltd,Government & Defence,First People Recruitment Solutions Pty Ltd ACT,-35.278741,149.128795
48,Education Data Analyst,Northern QLD,"JCU: James Cook University, Australia",Education & Training,"JCU: James Cook University, Australia Northern QLD",-19.3239872,146.7605092
49,Education Data Analyst,Northern QLD,"JCU: James Cook University, Australia",Consulting & Strategy,"JCU: James Cook University, Australia Northern QLD",-19.3239872,146.7605092
50,APS6 Data Analyst,ACT,HorizonOne Recruitment,Government & Defence,HorizonOne Recruitment ACT,-35.272575,149.1338219
51,Data Analyst and Operations Team Leader,Sydney,ManpowerGroup,Human Resources & Recruitment,ManpowerGroup Sydney,-33.86392,151.2036262
52,Data Analyst(Mandarin Speaking),Sydney,Access Corporate Group,Banking & Financial Services,Access Corporate Group Sydney,-33.8375376,151.2065787
53,Senior Data Analyst | BIG W,Sydney,Big W,Information & Communication Technology,Big W Sydney,-33.944145,151.223524
54,Spatial Data Analyst/Developer,Sydney,Hays Information Technology,Information & Communication Technology,Hays Information Technology Sydney,-33.865617,151.211688
55,Data Analyst,Brisbane,Woolworths Group,Banking & Financial Services,Woolworths Group Brisbane,-27.46853,153.0277733
56,Senior Business/Data Analyst – Regulatory Reporting and Analytics Project,Sydney,Reserve Bank of Australia,Banking & Financial Services,Reserve Bank of Australia Sydney,-33.8680028,151.211975
57,Senior Business/Data Analyst – Regulatory Reporting and Analytics Project,Sydney,Reserve Bank of Australia,Government & Defence,Reserve Bank of Australia Sydney,-33.8680028,151.211975
59,Senior Data Analyst,ACT,Modis,Information & Communication Technology,Modis ACT,-35.3128084,149.1334361
60,Data Analyst,Melbourne,First Grade Recruitment,Information & Communication Technology,First Grade Recruitment Melbourne,-37.82283,144.917643
62,Senior Data Analyst,Sydney,Redkite,Information & Communication Technology,Redkite Sydney,-33.8864296,151.2088055
63,Senior Data Analyst,ACT,NTT Ltd,Information & Communication Technology,NTT Ltd ACT,-35.2981012,149.1873301
64,Business Information Analyst,Sydney,Waste Options,Information & Communication Technology,Waste Options Sydney,-33.790234,150.88959
65,Business Intelligence Analyst - Portfolio Management,Brisbane,Clean Energy Finance Corporation,Banking & Financial Services,Clean Energy Finance Corporation Brisbane,-33.8647241,151.2109159
66,Data Analyst,Melbourne,Techtronic Industries,Information & Communication Technology,Techtronic Industries Melbourne,-37.897164,145.136371
67,SAP Manufacturing Master Data Analyst,Melbourne,Speller International,Information & Communication Technology,Speller International Melbourne,-37.799802,144.967938
68,"Data Analyst, National Data Acquisition Division",South West Coast VIC,Australian Bureau of Statistics,Government & Defence,Australian Bureau of Statistics South West Coast VIC,-37.8192903,144.9438662
70,"Data Analyst, National Data Acquisition Division",ACT,Australian Bureau of Statistics,Government & Defence,Australian Bureau of Statistics ACT,-35.240611,149.068061
72,Data Analyst,Melbourne,REIV,Real Estate & Property,REIV Melbourne,-37.833582,145.0599757
73,Data Analyst - Salesforce & SAP,Sydney,Robert Walters,Information & Communication Technology,Robert Walters Sydney,-33.864235,151.211319
74,Marketing and Data Analyst - Salesforce,Sydney,Morgan McKinley,Information & Communication Technology,Morgan McKinley Sydney,-33.870053,151.204246
75,GIS & DATA ANALYST,Bunbury & South West,Shire of Dardanup,Information & Communication Technology,Shire of Dardanup Bunbury & South West,-33.325636,115.6396494
76,GIS & DATA ANALYST,Bunbury & South West,Shire of Dardanup,Government & Defence,Shire of Dardanup Bunbury & South West,-33.325636,115.6396494
77,"Senior Data Analyst (6 Month, Fixed Term Contract)",Sydney,Equifax Australia,Information & Communication Technology,Equifax Australia Sydney,-33.8398465,151.2096067
78,Junior Data Analyst,Sydney,Atos Australia,Information & Communication Technology,Atos Australia Sydney,-33.8354089,151.2048271
79,Business Data Analyst,Perth,Compass Group,Hospitality & Tourism,Compass Group Perth,-31.9492549,115.8686786
80,Multiple Data Analyst - Federal Government,Melbourne,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,Information & Communication Technology,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years! Melbourne,-37.8162635,144.9569084
81,Data Analyst,Brisbane,onpoint 365,Information & Communication Technology,onpoint 365 Brisbane,-35.2805652,149.125529
83,Data Analyst,Sydney,Sydney Waste Pty Ltd,"Manufacturing, Transport & Logistics",Sydney Waste Pty Ltd Sydney,-33.8384241,150.953436
84,Data Analyst,Brisbane,Peoplebank Australia QLD,Information & Communication Technology,Peoplebank Australia QLD Brisbane,-27.466811,153.024968
85,Advanced Analytics Data Analyst,Sydney,Allianz Australia Insurance Ltd,Science & Technology,Allianz Australia Insurance Ltd Sydney,-33.870754,151.204619
86,Senior Actuarial Analyst,Sydney,Credit Corp Group Limited,Insurance & Superannuation,Credit Corp Group Limited Sydney,-33.86392,151.2036263
87,"Senior Actuary, Workers compensation",Sydney,Taylor Fry,Consulting & Strategy,Taylor Fry Sydney,-33.864647,151.204462
88,Procurement Data Analyst,Sydney,FutureYou,"Manufacturing, Transport & Logistics",FutureYou Sydney,-33.8684303,151.2092144
89,Lead Data Analyst,"Newcastle, Maitland & Hunter",CSIRO,Science & Technology,"CSIRO Newcastle, Maitland & Hunter",-32.884454,151.728559
90,Lead Data Analyst,"Newcastle, Maitland & Hunter",CSIRO,Government & Defence,"CSIRO Newcastle, Maitland & Hunter",-32.884454,151.728559
91,Lead Data Analyst,Sydney,CSIRO,Science & Technology,CSIRO Sydney,-33.8957182,151.1968287
92,Lead Data Analyst,Sydney,CSIRO,Government & Defence,CSIRO Sydney,-33.8957182,151.1968287
93,Lead Data Analyst,"Wollongong, Illawarra & South Coast",CSIRO,Government & Defence,"CSIRO Wollongong, Illawarra & South Coast",-34.0486647,150.9814085
